,car_model,year_of_manufacture,price,fuel
0,alto k10,2016,4254.0,Petrol
1,ignis,2017,7313.0,Petrol
2,sx4,2011,6567.0,Petrol
3,alto k10,2014,3731.0,Petrol
4,wagon r,2013,4328.0,Petrol
5,swift,2011,4478.0,Petrol
6,swift,2013,6194.0,Petrol
7,swift,2017,8955.0,Petrol
8,alto k10,2010,2910.0,Petrol
9,ciaz,2015,11119.0,Diesel
10,ritz,2014,5000.0,Petrol
11,sx4,2013,7090.0,Diesel
12,ciaz,2017,10821.0,Petrol
13,wagon r,2011,4254.0,Petrol
14,swift,2014,6866.0,Diesel
15,vitara brezza,2018,13806.0,Diesel
16,ciaz,2015,10075.0,Petrol
17,s cross,2015,9701.0,Diesel
18,ciaz,2016,13060.0,Diesel
19,ciaz,2015,11119.0,Diesel
20,alto 800,2017,4254.0,Petrol
21,ciaz,2015,10224.0,Diesel
22,ciaz,2015,11194.0,Petrol
23,ertiga,2015,9104.0,Petrol
24,dzire,2009,3358.0,Petrol
25,ertiga,2016,11567.0,Diesel
26,ertiga,2015,10821.0,Diesel
27,ertiga,2016,11567.0,Diesel
28,wagon r,2015,4851.0,CNG
29,sx4,2010,3955.0,Petrol
30,fortuner,2012,22239.0,Diesel
31,fortuner,2015,34328.0,Diesel
32,innova,2017,26866.0,Diesel
33,fortuner,2013,23881.0,Diesel
34,innova,2005,4104.0,Petrol
35,corolla altis,2009,5373.0,Petrol
36,etios cross,2015,6716.0,Petrol
37,corolla altis,2010,7090.0,Petrol
38,etios g,2014,6119.0,Petrol
39,fortuner,2014,29836.0,Diesel
40,baleno,2016,8731.0,Petrol
41,alto k10,2014,3806.0,Petrol
42,sx4,2008,2910.0,Petrol
43,dzire,2014,8209.0,Diesel
44,omni,2012,1866.0,Petrol
45,ciaz,2014,11194.0,Petrol
46,ritz,2013,3955.0,Petrol
47,wagon r,2006,1567.0,Petrol
48,ertiga,2015,8657.0,Petrol
49,ciaz,2017,11567.0,Petrol
50,ritz,2012,4627.0,Diesel
51,ritz,2011,3507.0,Petrol
52,swift,2014,7388.0,Diesel
53,ertiga,2014,8955.0,Diesel
54,dzire,2014,8209.0,Diesel
55,sx4,2011,4403.0,CNG
56,dzire,2015,6940.0,Petrol
57,800,2003,522.0,Petrol
58,alto k10,2016,4478.0,Petrol
59,sx4,2003,3358.0,Petrol
